name;type;size;allergens;size_variant;price;meat_type;frequency;preparation;side_dish1;side_dish2
Bravčové guľky v paradajkovej omáčke, knedle;Hlavné jedlo;200g/160g;1,3,7;2X;7.10 €;Bravčové;;Bravčové guľky v paradajkovej omáčke;knedľa;
Bravčové guľky v paradajkovej omáčke, knedle;Hlavné jedlo;100g/160g;1,3,7;;5.50 €;Bravčové;;Bravčové guľky v paradajkovej omáčke;knedľa;
Bravčové guľky v paradajkovej omáčke, knedle;Hlavné jedlo;150g/160g;1,3,7;XL;6.30 €;Bravčové;;Bravčové guľky v paradajkovej omáčke;knedľa;
Bravčové guľky v paradajkovej omáčke, pučené zemiaky s maslom;Hlavné jedlo;200g/200g;1,3,7;2X;7.10 €;Bravčové;;Bravčové guľky v paradajkovej omáčke;pučené zemiaky;
Bravčové guľky v paradajkovej omáčke, pučené zemiaky s maslom;Hlavné jedlo;100g/200g;1,3,7;;5.50 €;Bravčové;;Bravčové guľky v paradajkovej omáčke;pučené zemiaky;
Bravčové guľky v paradajkovej omáčke, pučené zemiaky s maslom;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;Bravčové;;Bravčové guľky v paradajkovej omáčke;pučené zemiaky;
Bravčové guľky v paradajkovej omáčke, zemiaková kaša;Hlavné jedlo;200g/200g;1,3,7;2X;7.10 €;Bravčové;;Bravčové guľky v paradajkovej omáčke;zemiaková kaša;
Bravčové guľky v paradajkovej omáčke, zemiaková kaša;Hlavné jedlo;100g/200g;1,3,7;;5.50 €;Bravčové;;Bravčové guľky v paradajkovej omáčke;zemiaková kaša;
Bravčové guľky v paradajkovej omáčke, zemiaková kaša;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;Bravčové;;Bravčové guľky v paradajkovej omáčke;zemiaková kaša;
Bravčové na paprike, maslové halušky;Hlavné jedlo;200g/180g;1,3,7;2X;7.10 €;Bravčové;;Bravčové na paprike;maslové halušky;
Bravčové na paprike, maslové halušky;Hlavné jedlo;100g/180g;1,3,7;;5.50 €;Bravčové;;Bravčové na paprike;maslové halušky;
Bravčové na paprike, maslové halušky;Hlavné jedlo;150g/180g;1,3,7;XL;6.30 €;Bravčové;;Bravčové na paprike;maslové halušky;
Bravčové na spôsob sviečkovej, knedle;Hlavné jedlo;200g/160g;1,3,7;2X;7.10 €;Bravčové;;Bravčové na spôsob sviečkovej;knedľa;
Bravčové na spôsob sviečkovej, knedle;Hlavné jedlo;100g/160g;1,3,7;;5.50 €;Bravčové;;Bravčové na spôsob sviečkovej;knedľa;
Bravčové na spôsob sviečkovej, knedle;Hlavné jedlo;150g/160g;1,3,7;XL;6.30 €;Bravčové;;Bravčové na spôsob sviečkovej;knedľa;
Bravčové plátky s ryžovými kroketami, grilovaná zelenina;Hlavné jedlo;150g/200g;1, 3;;6.90 €;Bravčové;;Bravčové plátky;ryžové krokety;
Bravčové plátky so slaninkou a volským okom, grilované paradajky, zeleninová obloha, fritované zemiaky;Hlavné jedlo;150g/200g;1;;6.90 €;Bravčové;;Bravčové plátky;fritované zemiaky;
Bravčové plátky so špargľou a slaninkou ,opekané zemiaky, zel. obloha;Hlavné jedlo;150g/200g;1;;6.90 €;Bravčové;;Bravčové plátky;opekané zemiaky;
Bravčové ražniči, americké zemiaky;Hlavné jedlo;200g/200g;1;2X;7.10 €;Bravčové;;Bravčové ražniči;americké zemiaky;
Bravčové ražniči, americké zemiaky;Hlavné jedlo;100g/200g;1;;5.50 €;Bravčové;;Bravčové ražniči;americké zemiaky;
Bravčové ražniči, americké zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;Bravčové;;Bravčové ražniči;americké zemiaky;
Bravčové ražniči, opekané zemiaky;Hlavné jedlo;200g/200g;1;2X;7.10 €;Bravčové;;Bravčové ražniči;opekané zemiaky;
Bravčové ražniči, opekané zemiaky;Hlavné jedlo;100g/200g;1;;5.50 €;Bravčové;;Bravčové ražniči;opekané zemiaky;
Bravčové ražniči, opekané zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;Bravčové;;Bravčové ražniči;opekané zemiaky;
Bravčové rezančeky pikantné/kápia,šampiňóny,par.pretlak/, ryža;Hlavné jedlo;100g/200g;1;;5.50 €;Bravčové;;Bravčové rezančeky;ryža;
Bravčové rezančeky pikantné/kápia,šampiňóny,par.pretlak/, ryža;Hlavné jedlo;150g/200g;1;XL;6.30 €;Bravčové;;Bravčové rezančeky;ryža;
Bravčové rezančeky v pikantnej marináde, ang.zel., hranolky;Hlavné jedlo;150g/200g;1;;6.90 €;Bravčové;;Bravčové rezančeky;hranolky;
Bravčové rezančeky v pikantnej marináde, ang.zel., opek.zemiaky, tatárska omáčka;Hlavné jedlo;150g/200g;1;;6.90 €;Bravčové;;Bravčové rezančeky;opekané zemiaky;
Bravčové rezančeky v pikantnej marináde, gril.zel., fritované zemiaky;Hlavné jedlo;150g/200g;1;;6.90 €;Bravčové;;Bravčové rezančeky;fritované zemiaky;
Bravčové rezančeky v pikantnej marináde, krokety, ang.zel.;Hlavné jedlo;150g/200g;1;;6.90 €;Bravčové;;Bravčové rezančeky;krokety;
Bravčové výpečky, kyslá  kapusta, knedle;Hlavné jedlo;150g/160g;1,3,7,12;XL;6.30 €;Bravčové;;Bravčové výpečky;knedľa;
Bravčové výpečky, kyslá kapusta, knedle;Hlavné jedlo;200g/160g;1,3,7,12;2X;7.10 €;Bravčové;;Bravčové výpečky;knedľa;
Bravčové výpečky, kyslá kapusta, knedle;Hlavné jedlo;100g/160g;1,3,7,12;;5.50 €;Bravčové;;Bravčové výpečky;knedľa;
Bravčové výpečky, kyslá kapusta, knedle;Hlavné jedlo;150g/160g;1,3,7,12;XL;6.30 €;Bravčové;;Bravčové výpečky;knedľa;
Bravčové výpečky, kyslá kapusta, opekané zemiaky;Hlavné jedlo;200g/200g;1,3,7,12;2X;7.10 €;Bravčové;;Bravčové výpečky;opekané zemiaky;
Bravčové výpečky, kyslá kapusta, opekané zemiaky;Hlavné jedlo;100g/200g;1,3,7,12;;5.50 €;Bravčové;;Bravčové výpečky;opekané zemiaky;
Bravčové výpečky, kyslá kapusta, opekané zemiaky;Hlavné jedlo;150g/200g;1,3,7,12;XL;6.30 €;Bravčové;;Bravčové výpečky;opekané zemiaky;
Bravčové výpečky, kyslá kapusta, žemlová knedľa;Hlavné jedlo;200g/160g;1,3,7,12;2X;7.10 €;Bravčové;;Bravčové výpečky;žemľová knedľa;
Bravčové výpečky, kyslá kapusta, žemlová knedľa;Hlavné jedlo;100g/160g;1,3,7,12;;5.50 €;Bravčové;;Bravčové výpečky;žemľová knedľa;
Bravčové výpečky, kyslá kapusta, žemlová knedľa;Hlavné jedlo;150g/160g;1,3,7,12;XL;6.30 €;Bravčové;;Bravčové výpečky;žemľová knedľa;
Bravčový plátok s hráškovou omeletou, hranolky, obloha;Hlavné jedlo;150g/200g;1,3;;6.90 €;Bravčové;;Bravčový plátok;hranolky;
Bravčový plátok s hruškou a mozarellou, hranolky;Hlavné jedlo;150g/200g;1,7;;6.90 €;Bravčové;;Bravčový plátok;hranolky;
Bravčový plátok s vol. okom a slaninkou, chery paradaj., opek. zemiaky;Hlavné jedlo;150g/200g;1,3;;6.90 €;Bravčové;;Bravčový plátok;opekané zemiaky;
